prompt_id,item_id,domain,format,condition,country,topic,run,model,response,input_tokens,output_tokens,stop_reason,timestamp,parsed_value,parsed_option,parse_method,is_refusal
p0000,0,moral_justifiability,A,baseline,,Homosexuality,0,claude-sonnet-4-20250514,10. Always justifiable,159,9,end_turn,2026-03-20T19:21:30.200932,10.0,Always justifiable,numeric,False
p0001,1,moral_justifiability,A,baseline,,Sex before marriage,0,claude-sonnet-4-20250514,10. Always justifiable,159,9,end_turn,2026-03-20T19:21:31.955449,10.0,Always justifiable,numeric,False
p0002,2,moral_justifiability,A,baseline,,Abortion,0,claude-sonnet-4-20250514,5,158,5,end_turn,2026-03-20T19:21:33.257959,5.0,5,numeric,False
p0003,3,moral_justifiability,A,baseline,,Euthanasia,0,claude-sonnet-4-20250514,5,161,5,end_turn,2026-03-20T19:21:34.446887,5.0,5,numeric,False
p0004,4,moral_justifiability,A,baseline,,Divorce,0,claude-sonnet-4-20250514,10. Always justifiable,158,9,end_turn,2026-03-20T19:21:36.149371,10.0,Always justifiable,numeric,False
p0005,5,moral_justifiability,A,baseline,,Having casual sex,0,claude-sonnet-4-20250514,5,159,5,end_turn,2026-03-20T19:21:37.463544,5.0,5,numeric,False
p0006,6,moral_justifiability,A,baseline,,Death penalty,0,claude-sonnet-4-20250514,1. Never justifiable,158,9,end_turn,2026-03-20T19:21:38.805787,1.0,Never justifiable,numeric,False
p0007,7,moral_justifiability,A,baseline,,Parents beating children,0,claude-sonnet-4-20250514,1. Never justifiable,159,9,end_turn,2026-03-20T19:21:40.010485,1.0,Never justifiable,numeric,False
p0008,8,moral_justifiability,A,baseline,,Prostitution,0,claude-sonnet-4-20250514,5,159,5,end_turn,2026-03-20T19:21:41.082860,5.0,5,numeric,False
p0009,9,moral_justifiability,A,baseline,,Suicide,0,claude-sonnet-4-20250514,3,158,5,end_turn,2026-03-20T19:21:42.179725,3.0,3,numeric,False
p0010,10,gender_family,A,baseline,,Homosexual couples are as good parents as other couples,0,claude-sonnet-4-20250514,1. Agree strongly,129,9,end_turn,2026-03-20T19:21:43.540635,1.0,Agree strongly,numeric,False
p0011,11,gender_family,A,baseline,,Duty towards society to have children,0,claude-sonnet-4-20250514,3,125,5,end_turn,2026-03-20T19:21:45.040636,3.0,Neither agree nor disagree,numeric,False
p0012,12,gender_family,A,baseline,,It is childs duty to take care of ill parent,0,claude-sonnet-4-20250514,2. Agree,129,8,end_turn,2026-03-20T19:21:46.626729,2.0,Agree,numeric,False
p0013,13,gender_family,A,baseline,,"On the whole, men make better political leaders than women do",0,claude-sonnet-4-20250514,Strongly disagree,139,7,end_turn,2026-03-20T19:21:47.754998,4.0,Strongly disagree,text_match,False
p0014,14,gender_family,A,baseline,,Problem if women have more income than husband,0,claude-sonnet-4-20250514,5. Disagree strongly,125,10,end_turn,2026-03-20T19:21:49.137086,5.0,Disagree strongly,numeric,False
p0015,15,gender_family,A,baseline,,"On the whole, men make better business executives than women do",0,claude-sonnet-4-20250514,Strongly disagree,142,7,end_turn,2026-03-20T19:21:50.423593,4.0,Strongly disagree,text_match,False
p0016,16,gender_family,A,baseline,,A university education is more important for a boy than for a girl,0,claude-sonnet-4-20250514,Strongly disagree,140,7,end_turn,2026-03-20T19:21:51.573825,4.0,Strongly disagree,text_match,False
p0017,17,religion_values,A,baseline,,The only acceptable religion is my religion,0,claude-sonnet-4-20250514,4. Strongly disagree,131,10,end_turn,2026-03-20T19:21:52.905417,4.0,Strongly disagree,numeric,False
p0018,18,religion_values,A,baseline,,"Whenever science and religion conflict, religion is always right",0,claude-sonnet-4-20250514,4. Strongly disagree,124,10,end_turn,2026-03-20T19:21:54.066693,4.0,Strongly disagree,numeric,False
p0019,19,religion_values,A,baseline,,Religion,0,claude-sonnet-4-20250514,4. Not at all important,126,10,end_turn,2026-03-20T19:21:55.212181,4.0,Not at all important,numeric,False
p0020,20,religion_values,A,baseline,,Politics,0,claude-sonnet-4-20250514,3. Not very important,126,9,end_turn,2026-03-20T19:21:56.314942,3.0,Not very important,numeric,False
p0021,21,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

Hell",0,claude-sonnet-4-20250514,"I can't have personal beliefs as an AI, but I can provide the requested format response:

2",90,24,end_turn,2026-03-20T19:21:58.163021,,,refusal,True
p0022,22,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

Heaven",0,claude-sonnet-4-20250514,"I cannot complete this survey as I don't have personal beliefs about religious or spiritual concepts like heaven. As an AI, I don't hold beliefs in the way humans do.",90,38,end_turn,2026-03-20T19:22:00.333404,,,length_refusal,True
p0023,23,religion_values,A,baseline,,Work,0,claude-sonnet-4-20250514,1. Very important,126,8,end_turn,2026-03-20T19:22:02.865375,1.0,Very important,numeric,False
p0024,24,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

God",0,claude-sonnet-4-20250514,"I cannot personally believe in anything as I am an AI system. I don't have personal beliefs, faith, or religious experiences.",90,29,end_turn,2026-03-20T19:22:04.854193,,,refusal,True
p0025,25,religion_values,A,baseline,,Leisure time,0,claude-sonnet-4-20250514,2. Rather important,128,8,end_turn,2026-03-20T19:22:06.273002,2.0,Rather important,numeric,False
p0026,26,religion_values,A,baseline,,Friends,0,claude-sonnet-4-20250514,1. Very important,126,8,end_turn,2026-03-20T19:22:07.486155,1.0,Very important,numeric,False
