item_id,domain,question,options,n_countries,n_options,cross_country_var,mean_of_means
0,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Homosexuality","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",88,10,4.992932437784594,4.1272405615852
1,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Sex before marriage","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Missing; Not available']",62,10,4.551238143987981,4.713618476622603
2,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Abortion","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",90,10,2.908802720077173,3.9297619125340075
3,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Euthanasia","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",90,10,2.7997421161481655,4.137787180279215
4,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Divorce","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",90,10,2.623999725197489,5.3462776532876966
5,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Having casual sex","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",86,10,2.076686797102563,3.6361156249400364
6,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Death penalty","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",90,10,1.2729529862024824,3.8615072270993367
7,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Parents beating children","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Missing; Not available']",64,10,1.130653598747284,2.882245371472292
8,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Prostitution","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",85,10,1.0405350469673713,2.8976610721815947
9,moral_justifiability,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Suicide","['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",90,10,0.9079021209712883,2.5390663981299815
10,gender_family,"Do you agree, disagree or neither agree nor disagree with the following statements?:

Homosexual couples are as good parents as other couples","['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",82,5,0.5771144386345718,3.2348536902005365
